qe,qc,vc,qs,vs,x1,x2,ref1,ref2,erro1,erro2,erro,control_elapsed
4.0,3.9830966803831624,99.77761123032296,1.360110298591252,100,3.983964866482497,1.8499000171669122,4.0,4.0,0.016035133517502853,2.150099982833088,2.1661351163505906,514.5368576049805
4.0,3.9832543711755877,99.77761123032296,1.3780114653030404,100,3.984280323076894,1.8989155878957793,4.0,4.0,0.01571967692310583,2.1010844121042207,2.1168040890273265,842.9150581359863
4.0,3.926085429288305,98.32839185653228,1.3951811754336265,100,3.9856726407625027,1.9465304952068863,4.0,4.0,0.014327359237497284,2.0534695047931137,2.067796864030611,835.355281829834
4.0,3.926764817829257,98.32839185653228,1.4120337189679537,100,3.987052159800624,1.9938392039995427,4.0,4.0,0.012947840199375893,2.006160796000457,2.019108636199833,819.896936416626
4.0,3.9274378463713266,98.32839185653228,1.4285823175916565,100,3.9884190000246074,2.0408474164714434,4.0,4.0,0.011580999975392636,1.9591525835285566,1.9707335835039492,834.8567485809326
4.0,3.9281045766018186,98.32839185653228,1.4448393059867457,100,3.9897732801051182,2.0875605965334514,4.0,4.0,0.010226719894881775,1.9124394034665486,1.9226661233614304,830.9330940246582
4.0,3.9287650695693412,98.32839185653228,1.4608162139501846,100,3.991115117562184,2.1339839856307705,4.0,4.0,0.008884882437815822,1.8660160143692295,1.8749008968070453,941.2031173706055
4.0,3.9294193856911837,98.32839185653228,1.4765238379314687,100,3.9924446287771023,2.1801226171386054,4.0,4.0,0.007555371222897733,1.8198773828613946,1.8274327540842923,1245.2547550201416
4.0,3.8478338187228713,96.25228167390436,1.491457116073637,100,3.9953106655647463,2.224444297777451,4.0,4.0,0.004689334435253656,1.7755557022225492,1.7802450366578029,1001.7561912536621
4.0,3.8492012927910113,96.25228167390436,1.5061586363377857,100,3.9981509415195644,2.2685138055384253,4.0,4.0,0.0018490584804355947,1.7314861944615747,1.7333352529420103,1333.7986469268799
4.0,3.8505560008081297,96.25228167390436,1.5206364468367444,100,4.000965697216823,2.3123351703143773,4.0,4.0,0.0009656972168228251,1.6876648296856227,1.6886305269024455,839.4255638122559
