x1,qe,vc,x2,vs,diff1,diff2
4.92,2.98,73.0,9.21,40.0,-0.07673690370306296,0.6214839599246638
5.8500000000000005,3.52,48.0,4.39,22.0,0.3631373819786896,0.590303405766389
2.0300000000000002,3.3200000000000003,59.0,8.92,9.0,0.48149081492262,0.4767726615358896
10.01,2.0100000000000002,2.0,6.45,93.0,0.5880013688855197,-0.6779094730649735
9.08,2.38,40.0,3.73,83.0,-0.009380024974962708,0.24396026606290633
4.5600000000000005,1.6,42.0,10.92,28.0,-0.05871955819750063,0.2674398267042175
8.5,0.11,91.0,7.04,71.0,-1.544665314515683,0.9543534845880908
5.62,2.86,76.0,10.31,54.0,-0.22097921215696292,0.5632446405912557
5.53,2.56,6.0,5.76,8.0,0.7090426137087587,0.031424870841178176
7.68,1.51,7.0,9.28,90.0,0.34926150286421276,-0.7169776649122426
6.63,3.3000000000000003,100.0,7.9,100.0,-0.5438827285466132,0.6712087266409004
4.53,1.7,26.0,10.9,99.0,0.1819172377985332,-0.6557183870631942
0.22,1.19,83.0,12.48,74.0,0.10051714468130438,-0.8902705509034217
12.94,3.37,45.0,1.85,56.0,-0.9399999999999995,0.7220297670441145
0.0,1.54,67.0,8.03,14.0,0.31596293228551986,0.06031645040938827
10.38,1.57,9.0,5.38,95.0,0.3080587453844412,-0.489659965782006
2.24,1.79,3.0,8.71,22.0,0.529712169380772,-0.1719146253584256
0.08,0.8,11.0,12.82,9.0,0.2203477928294988,-0.8713025771567438
11.64,0.04,29.0,2.4,50.0,-0.5978332615055244,0.3577222381402039
12.07,3.66,28.0,0.07,20.0,-0.07000000000000028,0.572968275020981
2.93,1.83,29.0,7.65,19.0,0.254914638544804,0.15324460953286678
6.98,0.59,24.0,5.0,36.0,-0.20892565495905924,0.1393814302859182
12.82,0.54,64.0,12.040000000000001,64.0,-1.771073175307201,-0.040000000000000924
2.0300000000000002,2.56,50.0,4.8,90.0,0.3364750878739309,-0.14425243796757758
8.17,0.24,30.0,7.49,62.0,-0.4533878386657575,-0.003355551099746279
3.5300000000000002,0.99,30.0,3.99,46.0,-0.04185057735900388,0.06273755119665303
3.5500000000000003,2.41,89.0,10.49,21.0,-0.2739271853756695,0.8063213004482197
1.6400000000000001,2.65,79.0,11.06,42.0,0.17839731465340303,0.2144942704221453
1.23,3.09,61.0,1.22,54.0,0.5012466115169654,0.27593059469851977
8.08,1.28,61.0,7.5200000000000005,2.0,-0.6609825690283291,1.0387369436787877
6.0200000000000005,1.48,66.0,8.15,18.0,-0.5267969279288982,0.8201736142960261
9.51,3.93,47.0,1.31,87.0,0.3147375298756838,0.571467735135506
11.39,1.35,59.0,2.0,65.0,-0.8002923144149339,0.899689204293229
9.77,3.04,59.0,12.64,59.0,-0.19672258814404842,-0.6400000000000006
8.39,3.63,5.0,10.47,73.0,1.0411029363036253,-0.6329818871942017
0.31,1.8,34.0,9.34,34.0,0.4102578365304837,-0.16487068975940744
6.28,2.86,11.0,3.24,81.0,0.7166270222004938,-0.2678282081127068
7.140000000000001,0.53,35.0,8.55,6.0,-0.4103524048636693,0.5186198989135953
1.47,2.63,52.0,4.3,0.0,0.40151165638763153,0.42537876999951596
4.91,3.99,1.0,6.17,63.0,1.2321901652455516,-0.4647820627272834
2.94,3.6,38.0,11.66,67.0,0.6943510302500355,-0.2753998075485171
1.8,0.31,95.0,4.7700000000000005,33.0,-0.6230719658189317,0.4736769602226003
1.71,2.59,0.0,11.38,54.0,0.8093750000000002,-0.5621464223937984
0.91,3.88,24.0,12.58,40.0,1.0339739249860918,-0.7717264579940899
11.18,1.56,27.0,5.08,26.0,-0.0757798089627002,0.3765945171578826
3.12,1.82,79.0,11.1,94.0,-0.28282961390834505,-0.12841673565968392
2.4,2.85,4.0,3.0,9.0,0.8486464486946566,-0.006076971230092099
10.73,3.83,83.0,1.9100000000000001,84.0,-0.4828568530695527,1.2577203976282574
